method,seed,step,elapsed_sec,mode_coverage,mode_tv,nearest_mode_distance,sliced_wasserstein
WGAN-GP,9,0,0.0,0.0,0.52975,1.364121805775256,0.8995372422087472
WGAN-GP,9,50,0.043216291815042496,0.0,0.61625,1.3186868140070187,0.8871581204650736
WGAN-GP,9,100,0.08591049909591675,0.0,0.625,1.0614109215562735,0.8366313844482375
WGAN-GP,9,200,0.1703000832349062,0.0,0.5,0.9623653317667156,0.7079136964243393
WGAN-GP,9,400,0.33769024908542633,2.0,0.4625,0.7637425624606085,0.38058494853153585
WGAN-GP,9,800,0.6706309989094734,5.0,0.26649999999999996,0.720565822117603,0.35319805967095763
WGAN-GP,9,1200,1.005113124847412,7.0,0.23075,0.7054080285827743,0.4035774640014374
WGAN-GP,9,1500,1.2561912890523672,8.0,0.1015,0.794209238758117,0.35364138884935853
PTGAN-GP,9,0,0.0,0.0,0.6577500000000001,1.3663746466966578,0.9149599256715321
PTGAN-GP,9,50,0.045517418533563614,0.0,0.64175,1.2770813386444535,0.8807197378321651
PTGAN-GP,9,100,0.09057308733463287,0.0,0.548,1.1096242959875136,0.8155451649499081
PTGAN-GP,9,200,0.17925237864255905,1.0,0.5345,0.8994737308524845,0.6492819036601623
PTGAN-GP,9,400,0.35445775277912617,2.0,0.5237499999999999,0.6233782765758062,0.46009606642069933
PTGAN-GP,9,800,0.7038430459797382,3.0,0.54825,0.8876903882932984,0.6660080621196328
PTGAN-GP,9,1200,1.0525721292942762,1.0,0.44375,0.7445646020430665,0.37150949983190457
PTGAN-GP,9,1500,1.314753795042634,4.0,0.4925,0.6686338617662808,0.6034705901940606
PTGAN-CP,9,0,0.0,0.0,0.6577500000000001,1.3663746466966578,0.9149599256715321
PTGAN-CP,9,50,0.03768816590309143,0.0,0.597,1.3720040102177187,0.9165272220024467
PTGAN-CP,9,100,0.07509920746088028,0.0,0.78375,1.1881257100617464,0.9025313679854471
PTGAN-CP,9,200,0.1485771629959345,1.0,0.75,0.8180111848053996,0.8666347474654885
PTGAN-CP,9,400,0.2940000779926777,1.0,0.44000000000000006,0.9761182180020922,0.5863132748377438
PTGAN-CP,9,800,0.5824305787682533,4.0,0.3095,0.6565213861792311,0.35454551535575046
PTGAN-CP,9,1200,0.8704941216856241,8.0,0.07100000000000001,0.5092194087519354,0.2303129840707348
PTGAN-CP,9,1500,1.0867996215820312,8.0,0.08074999999999999,0.4485060148763119,0.1973670034605523
